subject,session,scan,dvars,gcor,mean_fd,num_fd,outlier,perc_fd,quality,site
50002,session_1,rest_1,1.0549313384,0.0143977061,0.1168276402,0,0.0006414,0,0.0114426052,PITT
50003,session_1,rest_1,0.9498573854,0.0146807783,0.3220915328,0,0.00047375,0,0.031780987,PITT
50004,session_1,rest_1,1.1806053907,0.0305843884,0.1277446264,0,0.00826225,0,0.0142599518,PITT
50005,session_1,rest_1,1.0920299381,0.0208662615,0.1281363702,0,0.0017107,0,0.0192051298,PITT
50006,session_1,rest_1,1.08683026,0.0162706233,0.0701428973,0,0.0015003,0,0.0069191251,PITT
50007,session_1,rest_1,1.0993802779,0.0606878034,0.1512462811,1,0.00280495,0.4975124378,0.028284228,PITT
50008,session_1,rest_1,1.038368624,0.0265258583,0.1692748111,0,0.0005239,0,0.0180276262,PITT
50009,session_1,rest_1,1.1801880128,0.0119023415,0.0919758835,0,0.0031652,0,0.0105128788,PITT
50010,session_1,rest_1,1.1163371836,0.0111523035,0.0725448689,0,0.00112605,0,0.0064944375,PITT
50011,session_1,rest_1,1.0911830598,0.0060371542,0.0815391981,0,0.00101635,0,0.00916759,PITT
50012,session_1,rest_1,1.1263925843,0.0284454177,0.1045511425,0,0.0005816,0,0.0058044919,PITT
50013,session_1,rest_1,1.0993677552,0.0519112694,0.2325322576,9,0.00973315,4.4776119403,0.0195765079,PITT
50014,session_1,rest_1,1.141545908,0.0078353885,0.0324958186,0,0.0004874,0,0.0081296726,PITT
50015,session_1,rest_1,1.1658766479,0.0077694823,0.0700632947,0,0.000708,0,0.0090601192,PITT
50016,session_1,rest_1,1.0815561043,0.0373070929,0.105154729,0,0.00106025,0,0.0089298987,PITT
50017,session_1,rest_1,1.002636364,0.1039999586,0.3428341321,15,0.0052978,7.4626865672,0.030825818,PITT
50019,session_1,rest_1,1.0274329954,0.0238429384,0.2500978885,1,0.0020144,0.4975124378,0.0225349726,PITT
50020,session_1,rest_1,1.0515225923,0.027142732,0.0931312635,0,0.00088175,0,0.011054339,PITT
50022,session_1,rest_1,1.0485485353,0.0259406853,0.0751502629,0,0.0016102,0,0.009289898,PITT
50023,session_1,rest_1,1.0088029301,0.0231059668,0.1430194051,0,0.0006534,0,0.0185817932,PITT
50024,session_1,rest_1,1.070191722,0.0139054047,0.0877429755,0,0.0004656,0,0.0065850893,PITT
50025,session_1,rest_1,1.0413461053,0.0188586392,0.1002426728,0,0.000567,0,0.0084338031,PITT
50026,session_1,rest_1,1.1129572143,0.0286860471,0.3872984932,2,0.0017613,0.9950248756,0.0152851077,PITT
50027,session_1,rest_1,1.2456189684,0.0161460936,0.1451261636,2,0.01349065,0.9950248756,0.0095154281,PITT
50028,session_1,rest_1,1.1001188711,0.02074959,0.2386920635,0,0.0010822,0,0.0118729836,PITT
50029,session_1,rest_1,1.1670563649,0.0134946165,0.075641756,0,0.0009827,0,0.0080512093,PITT
50030,session_1,rest_1,1.1853111844,0.0110661351,0.0986120744,0,0.00054545,0,0.0086521286,PITT
50031,session_1,rest_1,0.9768135639,0.0371145987,0.153688514,5,0.00393515,2.4875621891,0.02634292,PITT
50032,session_1,rest_1,1.0662787365,0.0226879383,0.0679066259,0,0.0019052,0,0.0151708627,PITT
50033,session_1,rest_1,1.0446606386,0.0264182536,0.0709388009,0,0.00450855,0,0.0183350881,PITT
50034,session_1,rest_1,1.1004041998,0.0448403959,0.1572182673,4,0.0069269,1.9900497512,0.010208478,PITT
50035,session_1,rest_1,1.0858037264,0.0354011923,0.1916271751,4,0.00496005,1.9900497512,0.0112054569,PITT
50036,session_1,rest_1,1.1098669126,0.0292036412,0.1024985696,0,0.00089345,0,0.0062908907,PITT
50037,session_1,rest_1,1.1651087309,0.0199069223,0.0938655079,0,0.0004041,0,0.0092438166,PITT
50038,session_1,rest_1,1.1178501815,0.029917489,0.1282716215,0,0.0007538,0,0.0079842535,PITT
50039,session_1,rest_1,1.1110362041,0.0567271352,0.6023178827,37,0.00171625,18.407960199,0.0415559325,PITT
50040,session_1,rest_1,1.0672870809,0.0217281394,0.0939698525,0,0.00032195,0,0.0081553645,PITT
50041,session_1,rest_1,1.1004791878,0.0209021323,0.1094697202,0,0.0006019,0,0.006698431,PITT
50042,session_1,rest_1,1.0415101122,0.0405576249,0.1603338659,0,0.000433,0,0.0116084306,PITT
50043,session_1,rest_1,1.1440088423,0.0144480167,0.2106975364,0,0.00370005,0,0.0092119423,PITT
50044,session_1,rest_1,1.067488984,0.0227080934,0.100530059,0,0.00034175,0,0.0069363993,PITT
50045,session_1,rest_1,1.0516110505,0.0149028033,0.130714653,0,0.0008622,0,0.0123951876,PITT
50046,session_1,rest_1,1.007486178,0.0337498693,0.1552929587,0,0.00029835,0,0.0199150585,PITT
50047,session_1,rest_1,0.9851395767,0.0233759772,0.1371127605,0,0.0006921,0,0.0119206237,PITT
50048,session_1,rest_1,1.0143796394,0.1338162727,0.1916929714,5,0.01057945,2.4875621891,0.0194327775,PITT
50049,session_1,rest_1,1.1746012166,0.0382310112,0.2531482523,0,0.00346955,0,0.0145599196,PITT
50050,session_1,rest_1,1.0151575173,0.0398686627,0.0967590972,0,0.0006539,0,0.017174043,PITT
50051,session_1,rest_1,1.05684434,0.0168049877,0.1183472319,0,0.0005028,0,0.0065245311,PITT
50052,session_1,rest_1,1.054612493,0.0470682904,0.0906318568,0,0.0020593,0,0.0064148519,PITT
50053,session_1,rest_1,1.0779432896,0.0857676797,0.2340571753,3,0.00497185,1.4925373134,0.0167109301,PITT
50054,session_1,rest_1,1.0750813862,0.1190201153,0.419334978,26,0.01821115,12.9353233831,0.035875813,PITT
50055,session_1,rest_1,1.0435247826,0.0066567345,0.0875124151,0,0.000431,0,0.0072630223,PITT
50056,session_1,rest_1,1.1341177495,0.020588776,0.1997502952,2,0.00167405,0.9950248756,0.0169955245,PITT
50057,session_1,rest_1,1.1867986282,0.0089019404,0.0562847467,0,0.00048025,0,0.0084028639,PITT
50058,session_1,rest_1,1.1934897811,0.0426209743,0.0977247798,2,0.00143915,0.9950248756,0.0103348723,PITT
50059,session_1,rest_1,0.9878887634,0.0122635396,0.1119659947,0,0.00092505,0,0.0156814099,PITT
50060,session_1,rest_1,1.0798985635,0.011944484,0.0919096687,0,0.00042375,0,0.0077741552,PITT
50102,session_1,rest_1,1.0145349677,0.3778146181,0.1646404122,4,0.0106185238,1.8957345972,0.0165121352,OLIN
50103,session_1,rest_1,1.1157546596,0.2616574534,0.4364281852,28,0.0202359524,13.2701421801,0.0309817265,OLIN
50104,session_1,rest_1,1.1040604307,0.5132687979,0.0583998721,0,0.0072069048,0,0.0072864945,OLIN
50105,session_1,rest_1,1.0768457595,0.352187183,0.1164957511,0,0.005791381,0,0.0115390671,OLIN
50106,session_1,rest_1,1.0637780016,0.3439066477,0.2901039761,3,0.0089734762,1.4218009479,0.0149311023,OLIN
50107,session_1,rest_1,0.9186993504,0.43084386,0.0579028383,0,0.0060487143,0,0.0131563925,OLIN
50108,session_1,rest_1,1.0370592382,0.4458533117,0.0900536082,0,0.0093616667,0,0.0117422739,OLIN
50109,session_1,rest_1,0.943713349,0.3085519897,0.210562317,3,0.0094325714,1.4218009479,0.0243247405,OLIN
50110,session_1,rest_1,1.0382695463,0.232687746,0.4796868374,22,0.0243794762,10.4265402844,0.0299833175,OLIN
50111,session_1,rest_1,1.0801233037,0.384282337,0.1088729656,0,0.0063536667,0,0.0114977689,OLIN
50112,session_1,rest_1,0.9602646993,0.2649350441,0.1990339599,9,0.0163925714,4.2654028436,0.0334738205,OLIN
50113,session_1,rest_1,0.7096706494,0.3139051985,0.0852880756,0,0.0053718095,0,0.028511014,OLIN
50114,session_1,rest_1,1.0514999191,0.4663615345,0.1001115969,0,0.0089651905,0,0.0098080916,OLIN
50115,session_1,rest_1,0.978786428,0.4132393103,0.1367428653,0,0.0066003333,0,0.0171535093,OLIN
50116,session_1,rest_1,1.1053000176,0.4827565758,0.0685928179,0,0.0085414762,0,0.0124948026,OLIN
50117,session_1,rest_1,1.1005809532,0.4586752736,0.1109082533,0,0.0094848095,0,0.0068504679,OLIN
50118,session_1,rest_1,1.020003413,0.4595480844,0.0892096625,0,0.007431381,0,0.0074262653,OLIN
50119,session_1,rest_1,1.0378869562,0.3825567342,0.1821666724,2,0.0109821429,0.9478672986,0.0166380685,OLIN
50120,session_1,rest_1,0.8793304905,0.240841039,0.2485277466,6,0.0073614762,2.8436018957,0.0299182576,OLIN
50121,session_1,rest_1,0.9860750973,0.3728243107,0.1248508663,0,0.0068397619,0,0.0129204813,OLIN
50122,session_1,rest_1,0.9209568613,0.3674200658,0.130853753,2,0.0102315238,0.9478672986,0.0185806176,OLIN
