subject,session,scan,site,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gm_mean,gm_size,gm_std,qi1,snr,wm_mean,wm_size,wm_std
50002,session_1,anat_1,PITT,9.475412171,4844531,9.5923499806,11.1358401917,129.3473062573,262126,52.3579246938,0.5026067256,95.0803555907,84.1067449649,6689805,101.0511844182,5.6444956881,5.1914567892,5.7009296654,6.0763360595,207.6769864292,612934,31.8681734008,0.1373992653,8.7681063697,314.4958628753,466145,36.1759318109
50003,session_1,anat_1,PITT,9.3032182519,5389603,10.9271616033,9.1726277998,139.9140148,256486,61.9148321965,0.4786799032,83.2617082839,82.3492607409,6144733,101.816380158,6.3030166947,5.872894838,6.2977237175,6.7703054275,214.0903727678,547499,31.7338376515,0.1510150191,7.5361986699,314.3211590626,470035,36.6680093819
50004,session_1,anat_1,PITT,8.1356415699,5351560,9.1258865274,11.8802723136,129.9618377021,261174,58.9827101927,0.4730298862,119.2102265759,83.8662152729,6182776,103.8502106902,5.7049323795,5.3797139193,5.7090188848,6.0454733086,210.6422491515,603392,33.1364919832,0.1462011077,9.1899252769,319.0602662006,455446,36.4824206196
50005,session_1,anat_1,PITT,8.7017760037,5268570,8.8787000935,12.111571315,139.3676468682,231415,65.3314108065,0.4629146703,114.843891844,81.0217706821,6265766,105.7584573029,5.4663269132,5.0954187005,5.4947021561,5.8339544981,216.6967789847,530547,30.3283360801,0.1091514396,9.1254091059,324.2317883521,412950,39.6791027913
50006,session_1,anat_1,PITT,7.1437552245,4828228,7.0672861678,15.8147875721,139.5414228202,233241,80.2225465821,0.4227490266,152.9804742813,68.3432894311,6706108,103.8129486244,6.1037060248,5.7935710339,6.1571235688,6.3746664684,213.1315857736,620675,32.9244739097,0.1066378804,9.6703724468,324.899215229,432228,38.8315926528
50007,session_1,anat_1,PITT,11.5309106208,5081797,12.6043189487,8.3827617419,128.0197591262,315601,62.8615938667,0.4976298517,59.9045943664,83.2943323551,6452539,102.6842588459,6.0245928822,5.6562472337,6.0451116729,6.3951559851,202.7118073384,677748,32.7592728126,0.2167748928,6.6083961136,308.3708100048,560651,38.7538122037
50008,session_1,anat_1,PITT,7.8850983466,5453368,9.1833500435,11.3863570248,129.809960118,269796,59.8951015133,0.4710949944,125.1360279531,85.5620582118,6080968,104.9411744391,5.4319439664,4.9975806119,5.5866718216,5.74053829,218.400734709,527828,33.7347111642,0.0852480522,9.3170855741,322.9656369879,431947,34.8212920163
50009,session_1,anat_1,PITT,10.6852338533,5213696,12.4441627086,7.7166466165,119.5346416944,273370,60.3160473186,0.5061345194,69.7062710086,89.4657143897,6320640,103.6776823437,5.1468948685,4.7687139609,5.1706099628,5.5295904833,207.1733372346,584433,29.9450638238,0.1772847899,7.1893719557,303.2005432948,506539,32.8924458217
50010,session_1,anat_1,PITT,6.0278259007,4789818,6.5879769467,14.6426314091,129.1793711953,183491,67.7133704377,0.407492601,137.4000737444,55.2769773911,6744518,88.8830984956,5.8741912878,5.5873520003,5.8627045353,6.1878626022,209.2510150454,396534,31.5098551498,0.1360153977,8.3905845206,305.7163332069,311182,30.6915331055
50011,session_1,anat_1,PITT,13.0783417359,5035579,15.725285453,7.7228745512,142.7440429722,311271,78.2607444619,0.5134500944,60.4827111998,103.981880535,6498757,120.3717438507,5.1930529275,4.8427520511,5.1674504089,5.5962837175,238.3298258322,629508,36.5942043479,0.1827114618,6.6124001911,359.7742326678,503009,45.4289458935
50012,session_1,anat_1,PITT,9.0411524914,5377949,11.5470537332,9.7928197228,151.2312898937,248943,64.7206394936,0.4376514259,101.8754212063,86.8615155285,6156387,119.8587732093,6.1057907051,5.7506662749,6.165146171,6.4204419331,246.5465656873,516013,39.3482177763,0.1327193694,7.5223964082,359.6247812263,439381,41.9456341425
50013,session_1,anat_1,PITT,9.2305409479,5155210,11.0322744802,10.6273071162,151.5310402018,201384,88.1019661025,0.4306700941,92.2779596367,77.9614284151,6379126,114.0859946702,5.627228062,5.2269044059,5.6095310037,6.0773162825,226.288364158,552156,33.7866508919,0.1735036982,7.0666686688,343.5317332493,419103,43.2914407402
50014,session_1,anat_1,PITT,8.6032194922,5596162,9.1274343017,12.717730442,142.1439777761,251261,66.5392670278,0.4340671741,115.833530788,78.6521144379,5938174,109.7151160604,6.1760606146,5.9208376919,6.0816654275,6.5422655762,227.5941178998,558576,33.1417879518,0.1522164655,8.6171109907,343.6743669757,417559,42.3376257068
50015,session_1,anat_1,PITT,11.9872858737,5340831,13.8442401007,8.0718470626,138.9512345383,249972,65.4419793856,0.4744625991,58.534615969,85.6875507487,6193505,110.849878925,5.5396143737,5.1378663167,5.4085281784,6.1175434944,222.0461771495,550597,32.8009771501,0.251399829,6.1894007996,333.7947659393,444970,44.1934598173
50016,session_1,anat_1,PITT,9.2232572328,5457915,10.4424000355,9.3876832152,129.052421018,322447,58.326936419,0.5007415536,94.0948455149,89.4807157042,6076421,101.2825655776,5.6185752108,5.2179044065,5.6333228253,6.0341674349,204.660349683,646986,32.0262756405,0.1306225912,8.5689798705,302.6902932224,530928,36.1041840614
50017,session_1,anat_1,PITT,12.4272249091,5296194,14.3424271549,7.6908813621,133.3711951788,297353,71.1422254258,0.5013193519,52.7343276052,88.0649675817,6238142,106.0017069135,5.8084715024,5.4181043928,5.945757026,6.0831785874,215.6090773514,580015,33.3863484834,0.2805779018,6.1401718573,325.9149830448,518426,43.0734917106
50019,session_1,anat_1,PITT,12.392351808,5454021,17.0298467202,6.2028525731,140.496422884,336584,46.6904068591,0.5470614874,62.1653631129,119.6338632127,6080315,115.1669497097,4.9265184562,4.4928568368,5.0586075836,5.2609998513,230.8578036477,618307,34.3250825925,0.1955747878,7.0249524366,336.491432196,537594,39.160062583
50020,session_1,anat_1,PITT,10.0224944267,5258547,11.6845505381,9.7738624895,148.4749616307,259322,70.2005537419,0.4745832052,89.2896911547,90.3554203304,6275789,113.9986396021,5.8482993677,5.5912377144,5.8708318216,6.0937040892,239.5742061959,530515,34.9414497413,0.1536787634,7.7328965317,353.7773964073,457706,41.1637886068
50022,session_1,anat_1,PITT,11.1730618011,5234344,12.1679432677,10.3889424034,158.3684658346,266790,68.6126472936,0.489652458,92.1974216839,101.1088956938,6299992,122.2182993816,5.7048943031,5.3061044005,5.8146450558,6.0179033457,250.7811642995,599107,38.2866598963,0.1286382783,8.3094483159,377.1932260748,460383,44.2566455937
50023,session_1,anat_1,PITT,9.0247041147,5511511,9.8905010262,11.8759784799,153.0645623403,245716,79.3528907098,0.4524088619,120.7186086612,89.2446876673,6022825,116.9456466499,5.8557052184,5.4695901036,5.8353153903,6.2909763569,234.3031445354,614908,36.8049272083,0.159417989,9.0232726765,351.7625218785,459356,41.7083999249
50024,session_1,anat_1,PITT,9.1333977398,4982933,10.2221037582,10.7640103039,132.9331441047,294529,66.2564198503,0.4859200379,102.4047743755,87.0815645137,6551403,107.9801774567,5.4172655323,5.0255901338,5.4497927138,5.8046334572,223.3435927414,559389,34.2952595554,0.129345508,8.5189474274,333.3744229219,430401,37.1832966994
50025,session_1,anat_1,PITT,6.8758227848,4971379,7.0643098927,13.3618859397,120.8689295211,273784,52.841036003,0.4297802274,124.7201557411,61.3493524337,6562957,91.4151955083,6.1874835205,5.7856472249,6.2174881784,6.5852811896,211.5414797304,459827,31.5491889483,0.1085407087,8.684408437,305.9339827591,360421,30.9337493914
50026,session_1,anat_1,PITT,9.322153465,5331965,10.0885671561,10.9574458984,137.7222979015,286296,70.6549433236,0.4816915796,105.4025978654,89.5899361712,6202371,108.9090814008,5.5862293489,5.1020091763,5.6512333086,6.0460443123,216.4531506161,605088,33.0778713889,0.1169715105,8.8803429451,326.9980794223,486312,40.544672677
50027,session_1,anat_1,PITT,6.4521443624,4849157,7.1181109401,16.1580943291,153.4372144223,162609,79.4116452079,0.3912875066,153.9802455285,61.1998417694,6685179,102.3063890844,6.4745697033,6.2143614814,6.4236300372,6.7991601487,228.4417273864,491054,32.6490152381,0.0979219687,8.5977645311,343.456835402,364002,41.392565391
50028,session_1,anat_1,PITT,8.7598008997,5212047,9.77542101,11.7435719589,133.9844611897,258514,70.5193951886,0.4571809333,105.8484061562,81.0846834113,6322289,107.9917128587,6.0456967009,5.6811329463,6.0658391078,6.4122956134,211.3446269204,656951,33.3933974913,0.1224430632,8.2947510218,326.1429869798,489625,39.9676389109
