subject,session,scan,site,bg_mean,bg_size,bg_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,ghost_x,ghost_y,ghost_z,snr
50002,session_1,rest_1,PITT,51.0373972557,81765,70.3981568252,0.6131023729,45.4448048085,577.9717346667,37019,97.6646348022,1.8733683091,1.8742464,2.1469024,1.6339175,-0.00642105,0.0543591,,8.2100407274
50003,session_1,rest_1,PITT,41.1474366729,85166,61.8256715471,0.5782925092,56.3455003866,549.5501797711,33618,93.6910536053,2.013853691,1.9673024,2.27328,1.826245,-0.00323723,0.0418837,,8.8887053876
50004,session_1,rest_1,PITT,38.9363373294,83108,64.4035795431,0.5789395882,63.3273230677,590.9621078494,35676,97.0559816369,1.8664896167,1.8324224,2.1162464,1.6768125999,0.000751559,0.0467672,,9.1759202212
50005,session_1,rest_1,PITT,38.1220731218,86214,63.5206460637,0.5560369103,70.8210040893,615.4056200528,32570,99.6661603214,1.9184993028,1.8879104,2.2413664,1.6687525995,-0.000846579,0.02798,,9.6882770908
50006,session_1,rest_1,PITT,35.2022045843,83879,61.3215761999,0.5629013787,75.3967285268,603.8987081815,34905,110.5611448364,2.2133159957,2.1648416,2.5084352,1.99665,-0.0215611,0.053981,,9.8480623886
50007,session_1,rest_1,PITT,38.1978746264,78526,60.3002191286,0.6075265458,64.6769723247,566.0234634493,40258,95.6129322775,1.8345829548,1.7300192,2.1620321649,1.6508175984,-0.010927,0.0556256,,9.3867563274
50008,session_1,rest_1,PITT,39.7717233451,84678,65.0241699491,0.5714157346,60.7114545391,585.3066274026,34106,100.807253413,1.9091977254,1.8567872,2.1679808,1.72876,-0.00794117,0.0563312,,9.0013702268
50009,session_1,rest_1,PITT,38.7054237148,80573,59.9025809858,0.5965611829,64.4427416605,563.4113722517,38211,101.8942716443,2.0326364998,1.9813344,2.31024,1.8347001094,-0.012116,0.0530619,,9.4054607161
50010,session_1,rest_1,PITT,29.0558358585,94219,51.8817298867,0.4913155292,84.9197270003,538.3900905212,24565,102.4087142798,2.0223387523,1.9520416,2.371788619,1.7864775,-0.0103101,0.0365681,,10.3772578844
50011,session_1,rest_1,PITT,44.6480626333,80251,69.3786097211,0.5935501502,75.5930199166,706.5348850916,38533,123.6113690011,2.0226719308,1.9891808,2.3343265781,1.78213,-0.000504293,0.0508445,,10.1837567506
