,subject,session,scan,site,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gm_mean,gm_size,gm_std,qi1,snr,wm_mean,wm_size,wm_std
0,3001,session_1,anat_1,BMB_1,9.399243173,4818274,8.57037983,11.7578001047,124.8656323689,267170,35.0396566632,0.5126949998,202.2113126883,120.7536572771,6716062,134.669129963,4.24297,3.98811,4.2045,4.5554,212.8365034734,604600,35.3253891675,0.2707776685,14.0896505958,313.6053163356,522578,39.7839918115
1,3002,session_1,anat_1,BMB_1,9.4013444915,4717025,8.8673318207,12.2266282197,138.2698791055,221929,35.9721318215,0.4739432103,206.4356548671,114.0454691006,6817311,146.5313993772,4.53742,4.10985,4.50726,5.043,232.7414676756,543785,37.8227803361,0.2508059635,12.8613061298,341.1590371483,463332,37.1885670237
2,3004,session_1,anat_1,BMB_1,8.0219687323,5783356,6.8658139275,13.5841010988,128.9713125701,262066,35.8329632161,0.4429781221,243.318824775,102.254371255,5750980,129.1200867954,4.7591,4.6650902781,4.91478,4.70122,221.0307336441,570222,34.6342525403,0.2865305196,14.8932628142,314.2966441603,526813,37.4133663041
3,3006,session_1,anat_1,BMB_1,7.0755359877,5770468,5.3348623262,19.2792506093,148.4435509129,217116,37.3327891973,0.4064625572,337.0786468605,93.4990077844,5763868,133.1416126165,4.86051,4.62002,4.86144,5.11255,242.3092714977,519010,34.8541628028,0.2380047857,17.5260394865,345.1614192512,459369,33.5184306939
4,3007,session_1,anat_1,BMB_1,8.8096311314,5271634,7.3380904077,13.2247096553,133.0270736081,272701,42.2027860329,0.4666225659,218.5012283129,106.8055738561,6262702,131.5907419596,4.93989,4.79429,5.15808,4.87459,236.0175747376,622143,39.992994632,0.2448756875,14.5549547529,333.0616898031,613894,44.5878253983
5,3008,session_1,anat_1,BMB_1,7.7199428552,4427350,5.5198069053,19.3876018224,154.8226591696,233336,40.5812262141,0.4037162666,289.3373991018,84.821656888,7106986,137.3487802705,4.99134,4.81317,5.15445,5.01231,260.1541757352,512305,38.0428700511,0.2704782771,15.366779734,367.1699941516,459957,40.124102961
6,3009,session_1,anat_1,BMB_1,9.3604154985,4889934,9.3135290969,10.7225556453,132.6480507731,294014,37.4389362801,0.5053204226,235.7754488352,134.9092026641,6644402,151.3576081368,4.26792,4.0617,4.22675,4.52828,229.650855871,616857,37.6874623251,0.2635696106,14.4852935188,329.5156898663,569922,41.7428957561
7,3010,session_1,anat_1,BMB_1,8.3783107387,5038226,8.5558362288,11.0573967187,128.5779808817,214559,33.3756261953,0.4601984815,253.9996550931,117.1372298191,6496110,150.6718936482,4.36214,4.28955,4.53559,4.26633,213.7196987051,515110,32.423599874,0.2934828648,13.6909153807,308.3249741468,417744,35.4226895872
8,3011,session_1,anat_1,BMB_1,7.5167320641,4712210,7.0822862749,14.2990952278,116.0653751296,223816,33.3417054538,0.459016351,258.6785935228,99.236587832,6822126,133.2019840834,4.22696,4.0161,4.18476,4.49375,202.5818950961,500439,31.3747944681,0.2302244594,14.0119424689,303.8521809709,380702,34.1884380705
9,3012,session_1,anat_1,BMB_1,7.2000893249,5555004,6.3909658867,13.4481078831,114.4953927919,301050,34.1166470203,0.4582527739,296.9440405314,105.7110407985,5979332,127.8579365588,4.43728,4.12398,4.6050602745,4.60043,202.0447220652,590894,34.1876550116,0.2439848828,16.5406986476,287.9911207863,559509,38.1127997331
10,3013,session_1,anat_1,BMB_1,10.6089928367,4938375,9.6276945189,10.9570632419,161.0980052821,243844,40.1853986141,0.4601823618,172.4553420395,113.3169021163,6595961,150.1817946327,4.4304802641,4.2063702507,4.4173002633,4.68046,261.6382736247,537890,36.4837951177,0.2382660288,11.7698896547,367.1295313419,458970,36.8014781082
11,3014,session_1,anat_1,BMB_1,9.4796075664,4690220,9.2708073126,9.6248219039,125.0626414144,325727,32.3927269247,0.5314838792,198.739101527,128.3722869396,6844116,135.87141335,4.2909,4.03364,4.35365,4.4987702681,209.6198943069,608365,33.8302150122,0.2558378925,13.8469372312,298.8497635964,593265,36.5169302848
12,3015,session_1,anat_1,BMB_1,8.0599991355,4650167,8.1969020436,12.0564126725,130.4576992117,230634,35.3725247343,0.4036871591,168.5598281179,78.6771605985,6884169,126.8288442308,5.0461203008,4.7707,5.2102103106,5.1693303081,221.5354950387,522242,33.7010321497,0.2743015466,9.5984019548,320.3607287123,434465,35.2554065299
13,3016,session_1,anat_1,BMB_1,9.3693268845,3981278,8.3061771802,12.5825431662,143.3870188694,312623,42.1775675597,0.4957019202,222.698623584,116.5720776936,7553058,146.0306195592,4.68789,4.50199,4.82833,4.73947,247.6186280743,699965,41.7748591501,0.2100021651,14.0343837079,352.1314609908,720381,43.8590999448
14,3017,session_1,anat_1,BMB_1,9.5310741345,4646485,9.1586271951,11.195482382,130.0230296187,247985,39.6474301621,0.5168043404,191.8348595894,122.1885846543,6887851,136.3366642638,4.3502102593,4.1489602473,4.2076902508,4.71572,225.6296501843,609035,38.6124250683,0.273517078,13.341364601,328.1648995905,536951,43.1400083767
15,3018,session_1,anat_1,BMB_1,10.0282908879,4719152,10.1914116093,10.4265892439,136.964411598,234627,38.9357519969,0.5040854371,177.8333129247,124.4717620243,6815184,144.4351360007,4.15044,3.94914,4.17954,4.33164,239.2304757983,573058,36.3417749222,0.3076264549,12.2133975936,345.4921384634,478278,36.3374217492
16,3020,session_1,anat_1,BMB_1,8.857969397,4411852,7.7207996245,11.2614874459,125.7062139252,229211,34.6754146334,0.5111818384,207.98160954,110.0180557794,7122484,128.8912578838,4.23049,3.99504,4.22567,4.48493,211.4583403133,483525,31.7187994424,0.2277549202,14.2495675487,298.4060283573,463443,33.8874130875
