,subject,session,scan,site,bg_mean,bg_size,bg_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,ghost_x,ghost_y,ghost_z,snr
0,3001,session_1,rest_1,BMB_1,82.9127687049,101131,111.5035321137,0.585920263,50.308569092,967.0864885231,38133,189.7928120344,1.9897167161,1.92094,2.2883331515,1.7920175,-0.0187518,0.0738735,,8.6731466725
1,3001,session_1,rest_2,BMB_1,84.1358165575,101119,112.3508712788,0.5868130881,50.0825817635,974.7300812653,38145,191.1715439163,1.9877390832,1.9188966667,2.2782264856,1.7965125,-0.0190944,0.071197,,8.6757678883
2,3002,session_1,rest_1,BMB_1,71.1737111597,104836,95.4465249511,0.5528230953,71.2917855376,986.337278821,34428,194.1302051653,1.9196941143,1.84133,2.1334333333,1.8008776073,-0.0278648,0.0613935,,10.3339255078
3,3002,session_1,rest_2,BMB_1,71.3793978498,104712,93.1908250499,0.5541615598,73.341205512,986.0724278518,34552,195.4269551425,1.9230769873,1.8641766667,2.1294333333,1.7915901068,-0.0273789,0.0597397,,10.5812179184
4,3004,session_1,rest_1,BMB_1,80.9381021953,100968,113.7756567698,0.5855676401,47.8729004559,948.8590800379,38296,181.4789853551,1.8300797794,1.7895633333,2.0639934974,1.6594150989,-0.02193,0.0731227,,8.3397372248
5,3004,session_1,rest_2,BMB_1,81.6007384098,101103,111.8244631785,0.5863651842,48.612999567,947.8109969612,38161,182.2378891007,1.8238803694,1.7937066667,2.0592901637,1.6425575979,-0.0225375,0.0732534,,8.4758823787
6,3006,session_1,rest_1,BMB_1,69.2844938979,104795,98.32118801,0.5420680984,82.472351513,1072.6092940514,34469,206.3035434413,1.9938598949,1.94277,2.2116466667,1.84478761,-0.0264586,0.062906,,10.9092385452
7,3006,session_1,rest_2,BMB_1,67.9013658121,104949,96.9588216318,0.539643043,85.1341531231,1072.8763337637,34315,204.191057582,1.9542042646,1.9035866667,2.1639,1.811755108,-0.0250558,0.0623632,,11.0652781842
8,3007,session_1,rest_1,BMB_1,90.5383345503,96464,126.2205175264,0.6085401573,45.8865354951,1034.0984215308,42800,194.5873686361,1.8500923352,1.7989033333,2.1150701681,1.6643575992,-0.0199972,0.0735244,,8.1927918043
9,3007,session_1,rest_2,BMB_1,92.5313904506,96483,129.4673059882,0.6102400822,43.6359590808,1033.0867492837,42781,194.4456011995,1.8481389305,1.7863966667,2.122343502,1.6649850992,-0.0187667,0.0754906,,7.9795183919
