,Unnamed: 0,subject,session,scan,site,dvars,mean_fd,num_fd,outlier,perc_fd,quality,gcor
0,0,3001,session_1,rest_1,BMB_1,1.3323495577,0.0189719773,0,0.0009267,0,0.0050586861,0.0192372632
1,1,3001,session_1,rest_2,BMB_1,1.3869715999,0.0249664509,0,0.00169665,0,0.0050182337,0.030116834
2,2,3002,session_1,rest_1,BMB_1,1.2512626337,0.0435167835,0,0.0010617,0,0.0037422064,0.0105543687
3,3,3002,session_1,rest_2,BMB_1,1.2793539054,0.0374257524,0,0.00101175,0,0.0038845956,0.0149360085
5,5,3004,session_1,rest_2,BMB_1,1.2143925305,0.0817118758,0,0.00131315,0,0.0091103853,0.0096992826
4,4,3004,session_1,rest_1,BMB_1,1.1351984481,0.0923204836,0,0.00067725,0,0.0100242552,0.0132506486
7,7,3006,session_1,rest_2,BMB_1,1.2183187202,0.0506006223,0,0.00144485,0,0.0051101103,0.0229527336
6,6,3006,session_1,rest_1,BMB_1,1.1901909056,0.0565802972,0,0.002344,0,0.0053851814,0.0325790677
8,8,3007,session_1,rest_1,BMB_1,1.1412769195,0.0406542809,0,0.00224275,0,0.0081702549,0.0134018578
9,9,3007,session_1,rest_2,BMB_1,1.2506850872,0.0339189014,0,0.00091945,0,0.0051622809,0.018112658
10,10,3008,session_1,rest_1,BMB_1,1.1785596323,0.0342453515,0,0.0011114,0,0.0104701122,0.0212250559
11,11,3008,session_1,rest_2,BMB_1,1.270144448,0.0223494272,0,0.001071,0,0.006071952,0.0215344613
12,12,3009,session_1,rest_1,BMB_1,1.1811886009,0.0904374116,0,0.0014609,0,0.0080128279,0.0106493515
13,13,3009,session_1,rest_2,BMB_1,1.3177612823,0.0495714903,0,0.00110765,0,0.0042880796,0.018317689
15,15,3010,session_1,rest_2,BMB_1,1.2271557195,0.0585335648,0,0.0009626,0,0.0063393588,0.0197325609
14,14,3010,session_1,rest_1,BMB_1,1.2219528498,0.0737767871,0,0.00044585,0,0.0067042092,0.0201521523
16,16,3011,session_1,rest_1,BMB_1,1.3378531464,0.0482538997,0,0.0028482,0,0.0090301938,0.0156751048
17,17,3011,session_1,rest_2,BMB_1,1.3434294386,0.042342944,0,0.00153285,0,0.0072604341,0.0221379416
19,19,3012,session_1,rest_2,BMB_1,1.1376520748,0.0528026198,0,0.00071365,0,0.0090509445,0.0151907541
18,18,3012,session_1,rest_1,BMB_1,1.1793301749,0.0543481077,0,0.00157495,0,0.01005417,0.0197403765
20,20,3013,session_1,rest_1,BMB_1,1.1605308795,0.0456500139,0,0.00364805,0,0.0211549645,0.0114801976
21,21,3013,session_1,rest_2,BMB_1,1.2314219796,0.0458201841,0,0.00185595,0,0.0123851199,0.0200101927
22,22,3014,session_1,rest_1,BMB_1,1.1310445533,0.0868947226,0,0.00187265,0,0.0128606265,0.0052616456
23,23,3014,session_1,rest_2,BMB_1,1.2404207621,0.065089025,0,0.0029007,0,0.0069834547,0.0198046748
25,25,3015,session_1,rest_2,BMB_1,1.2539967479,0.0563421998,0,0.00051235,0,0.0053686765,0.0226584883
24,24,3015,session_1,rest_1,BMB_1,1.2242428684,0.0592928689,0,0.00060175,0,0.0062471333,0.0258321076
27,27,3016,session_1,rest_2,BMB_1,1.0697421687,0.0591243609,0,0.00134845,0,0.007479143,0.0144117685
