"","uniqueid","subid","site","site.name","session","scan","efc","fber","fwhm","gsr","dvars","quality","global"
"1","Berlin_0003001_session_1_rest_1","0003001",4,"BMB",1,1,0.585903858059355,50.3085536339459,1.98971671607354,0.0738735047630618,1.33233739058142,0.00505833515,"All Sites"
"2","Berlin_0003002_session_1_rest_1","0003002",4,"BMB",1,1,0.552845631390251,71.2918146057429,1.91969108578738,0.0613935551607328,1.25126129171251,0.0037421844,"All Sites"
"3","Berlin_0003004_session_1_rest_1","0003004",4,"BMB",1,1,0.585529693397784,47.8728942296571,1.83007977943123,0.0731227128111719,1.13519952305535,0.0100242592,"All Sites"
"4","Berlin_0003006_session_1_rest_1","0003006",4,"BMB",1,1,0.542108917324571,82.4723154444656,1.99385989489422,0.0629060082804527,1.19019167110897,0.00538501595,"All Sites"
"5","Berlin_0003007_session_1_rest_1","0003007",4,"BMB",1,1,0.608529054942277,45.8865174692933,1.85009233519186,0.0735243937482203,1.14127700114004,0.0081702684,"All Sites"
"6","Berlin_0003008_session_1_rest_1","0003008",4,"BMB",1,1,0.561749468874158,59.5618505127929,1.91270728530554,0.0505763089946514,1.1785564670988,0.01046984965,"All Sites"
"7","Berlin_0003009_session_1_rest_1","0003009",4,"BMB",1,1,0.608493593809604,52.7016222688118,1.96482519308322,0.0794142765938282,1.18118733621872,0.00801261200000001,"All Sites"
"8","Berlin_0003010_session_1_rest_1","0003010",4,"BMB",1,1,0.557404927767589,50.5632695591615,1.71826919135982,0.0609574641427784,1.22195228265063,0.0067043313,"All Sites"
"9","Berlin_0003011_session_1_rest_1","0003011",4,"BMB",1,1,0.539673919547672,70.0856095768438,2.04331571520758,0.0310669761183774,1.33785335277178,0.0090311082,"All Sites"
"10","Berlin_0003012_session_1_rest_1","0003012",4,"BMB",1,1,0.610611153690127,47.5884562280676,1.85646134317683,0.0916379565742234,1.17933293272678,0.0100540797,"All Sites"
"11","Berlin_0003013_session_1_rest_1","0003013",4,"BMB",1,1,0.556250397245569,69.6773353888861,1.73781850541609,0.0591715379655669,1.16052799497017,0.02115494,"All Sites"
