"","site","site.name","uniqueid","subid","session","scan","MeanFD","PercentFD_greater_than_0.20","global"
"1",4,"BMB","Berlin_0003001_session_1_rest_1","0003001",1,1,0.034,0,"All Sites"
"2",4,"BMB","Berlin_0003001_session_1_rest_2","0003001",1,2,0.0407,1.4925,"All Sites"
"3",4,"BMB","Berlin_0003002_session_1_rest_1","0003002",1,1,0.0636,0,"All Sites"
"4",4,"BMB","Berlin_0003002_session_1_rest_2","0003002",1,2,0.0556,0,"All Sites"
"5",4,"BMB","Berlin_0003004_session_1_rest_1","0003004",1,1,0.1234,3.4826,"All Sites"
"6",4,"BMB","Berlin_0003004_session_1_rest_2","0003004",1,2,0.1058,2.4876,"All Sites"
"7",4,"BMB","Berlin_0003006_session_1_rest_1","0003006",1,1,0.0744,3.4826,"All Sites"
"8",4,"BMB","Berlin_0003006_session_1_rest_2","0003006",1,2,0.0733,3.9801,"All Sites"
"9",4,"BMB","Berlin_0003007_session_1_rest_1","0003007",1,1,0.0744,2.4876,"All Sites"
"10",4,"BMB","Berlin_0003007_session_1_rest_2","0003007",1,2,0.06,0,"All Sites"
"11",4,"BMB","Berlin_0003008_session_1_rest_1","0003008",1,1,0.0695,0.4975,"All Sites"
"12",4,"BMB","Berlin_0003008_session_1_rest_2","0003008",1,2,0.042,0,"All Sites"
"13",4,"BMB","Berlin_0003009_session_1_rest_1","0003009",1,1,0.0998,6.4677,"All Sites"
"14",4,"BMB","Berlin_0003009_session_1_rest_2","0003009",1,2,0.0627,2.9851,"All Sites"
"15",4,"BMB","Berlin_0003010_session_1_rest_1","0003010",1,1,0.1029,3.9801,"All Sites"
"16",4,"BMB","Berlin_0003010_session_1_rest_2","0003010",1,2,0.0794,1.99,"All Sites"
"17",4,"BMB","Berlin_0003011_session_1_rest_1","0003011",1,1,0.0817,4.9751,"All Sites"
"18",4,"BMB","Berlin_0003011_session_1_rest_2","0003011",1,2,0.0751,6.9652,"All Sites"
"19",4,"BMB","Berlin_0003012_session_1_rest_1","0003012",1,1,0.072,0.995,"All Sites"
"20",4,"BMB","Berlin_0003012_session_1_rest_2","0003012",1,2,0.0718,0.4975,"All Sites"
"21",4,"BMB","Berlin_0003013_session_1_rest_1","0003013",1,1,0.0844,0.4975,"All Sites"
"22",4,"BMB","Berlin_0003013_session_1_rest_2","0003013",1,2,0.0845,1.4925,"All Sites"
"23",4,"BMB","Berlin_0003014_session_1_rest_1","0003014",1,1,0.1216,10.4478,"All Sites"
"24",4,"BMB","Berlin_0003014_session_1_rest_2","0003014",1,2,0.0952,4.9751,"All Sites"
"25",4,"BMB","Berlin_0003015_session_1_rest_1","0003015",1,1,0.0911,2.9851,"All Sites"
"26",4,"BMB","Berlin_0003015_session_1_rest_2","0003015",1,2,0.0887,2.9851,"All Sites"
"27",4,"BMB","Berlin_0003016_session_1_rest_1","0003016",1,1,0.1006,3.9801,"All Sites"
"28",4,"BMB","Berlin_0003016_session_1_rest_2","0003016",1,2,0.0843,1.4925,"All Sites"
"29",4,"BMB","Berlin_0003017_session_1_rest_1","0003017",1,1,0.1175,9.4527,"All Sites"
"30",4,"BMB","Berlin_0003017_session_1_rest_2","0003017",1,2,0.1276,13.4328,"All Sites"
"31",4,"BMB","Berlin_0003018_session_1_rest_1","0003018",1,1,0.0836,0.4975,"All Sites"
"32",4,"BMB","Berlin_0003018_session_1_rest_2","0003018",1,2,0.0903,5.9701,"All Sites"
"33",4,"BMB","Berlin_0003020_session_1_rest_1","0003020",1,1,0.1077,6.4677,"All Sites"
"34",4,"BMB","Berlin_0003020_session_1_rest_2","0003020",1,2,0.1168,7.9602,"All Sites"
"35",4,"BMB","Berlin_0003021_session_1_rest_1","0003021",1,1,0.1359,12.9353,"All Sites"
"36",4,"BMB","Berlin_0003021_session_1_rest_2","0003021",1,2,0.0922,8.4577,"All Sites"
"37",4,"BMB","Berlin_0003022_session_1_rest_1","0003022",1,1,0.1317,9.9502,"All Sites"
"38",4,"BMB","Berlin_0003022_session_1_rest_2","0003022",1,2,0.1208,6.9652,"All Sites"
"39",4,"BMB","Berlin_0003023_session_1_rest_1","0003023",1,1,0.0792,1.99,"All Sites"
